af-south-1,Cape Town,ZA
ap-east-1,Hong Kong,CN
ap-northeast-1,Tokyo,JP
ap-northeast-2,Seoul,KR
ap-northeast-3,Osaka,JP
ap-south-1,Mumbai,IN
ap-south-2,Hyderabad,IN
ap-southeast-1,Singapore,SG
ap-southeast-2,Sydney,AU
ap-southeast-3,Jakarta,ID
ap-southeast-4,Melbourne,AU
ap-southeast-5,Auckland,NZ
ap-southeast-6,Bangkok,TH
ap-southeast-7,Kuala Lumpur,MY
ca-central-1,Montreal,CA
ca-west-1,Calgary,CA
cn-north-1,Beijing,CN
cn-northwest-1,Ningxia,CN
eu-central-1,Frankfurt,DE
eu-central-2,Zurich,CH
eu-north-1,Stockholm,SE
eu-south-1,Milan,IT
eu-south-2,Spain,ES
eu-west-1,Ireland,IE
eu-west-2,London,UK
eu-west-3,Paris,FR
eusc-de-east-1,Germany,DE
il-central-1,Tel Aviv,IL
me-central-1,UAE,AE
me-south-1,Bahrain,BH
sa-east-1,Sao Paulo,BR
us-east-1,N. Virginia,US
us-east-2,Ohio,US
us-gov-east-1,United States,US
us-gov-west-1,United States,US
us-west-1,California,US
us-west-2,Oregon,US
global,global,GO
