ae-ad-1,Abu Dhabi,AE
af-south-1,Johannesburg,ZA
ap-southeast-1,Hong Kong,CN
ap-southeast-2,Bangkok,TH
ap-southeast-3,Singapore,SG
ap-southeast-4,Jakarta,ID
cn-east-2,Shanghai,CN
cn-east-3,Shanghai,CN
cn-east-5,Qingdao,CN
cn-north-1,Beijing,CN
cn-north-2,Beijing,CN
cn-north-3,Beijing,CN
cn-north-4,Beijing,CN
cn-north-9,Beijing,CN
cn-south-1,Guangzhou,CN
cn-south-2,Shenzhen,CN
cn-southwest-2,Guiyang,CN
eu-west-0,Paris,FR
eu-west-101,Dublin,IE
la-north-2,Mexico,City,MX
la-south-2,Santiago,CL
me-east-1,Riyadh,SA
my-kualalumpur-1,Kuala Lumpur,MY
na-mexico-1,Mexico City,MX
ru-northwest-2,Moscow,RU
sa-argentina-1,Buenos Aires,AR
sa-brazil-1,Sao Paulo,BR
sa-chile-1,Santiago,CL
sa-peru-1,Lima,PE
tr-west-1,Istanbul,TR
