af-johannesburg-1,Johannesburg,ZA
ap-chiyoda-1,Chiyoda,JP
ap-chuncheon-1,Chuncheon,KR
ap-dcc-canberra-1,Canberra,AU
ap-hyderabad-1,Hyderabad,IN
ap-ibaraki-1,Ibaraki,JP
ap-melbourne-1,Melbourne,AU
ap-mumbai-1,Mumbai,IN
ap-osaka-1,Osaka,JP
ap-seoul-1,Seoul,KR
ap-singapore-1,Singapore,SG
ap-sydney-1,Sydney,AU
ap-tokyo-1,Tokyo,JP
ca-montreal-1,Montreal,CA
ca-toronto-1,Toronto,CA
eu-amsterdam-1,Amsterdam,NL
eu-dcc-dublin-1,Dublin,IE
eu-dcc-dublin-2,Dublin,IE
eu-dcc-milan-1,Milan,IT
eu-dcc-milan-2,Milan,IT
eu-dcc-rating-1,Ratingen,DE
eu-dcc-rating-2,Ratingen,DE
eu-frankfurt-1,Frankfurt,DE
eu-frankfurt-2,Frankfurt,DE
eu-jovanovac-1,Jovanovac,RS
eu-madrid-1,Madrid,ES
eu-madrid-2,Madrid,ES
eu-marseille-1,Marseille,FR
eu-milan-1,Milan,IT
eu-paris-1,Paris,IT
eu-stockholm-1,Stockholm,SE
eu-zurich-1,Zurich,CH
il-jerusalem-1,Jerusalem,IL
me-abudhabi-1,Abu Dhabi,AE
me-dcc-muscat-1,Muscat,OM
me-dubai-1,Dubai,AE
me-jeddah-1,Jeddah,SA
mx-monterrey-1,Monterrey,MX
mx-queretaro-1,Queretaro,MX
sa-bogota-1,Bogota,CO
sa-santiago-1,Santiago,CL
sa-saopaulo-1,Sao Paulo,BR
sa-valparaiso-1,Valparaiso,CL
sa-vinhedo-1,Vinhedo,BR
uk-cardiff-1,Newport,UK
uk-gov-cardiff-1,Cardiff,UK
uk-gov-london-1,London,UK
uk-london-1,London,UK
us-ashburn-1,Ashburn,US
us-chicago-1,Chicago,US
us-gov-ashburn-1,Ashburn,US
us-gov-chicago-1,Chicago,US
us-gov-phoenix-1,Phoenix,US
us-langley-1,Langley,US
us-luke-1,Luke,US
us-phoenix-1,Phoenix,US
us-sanjose-1,San Jose,US
global,global,GO
